description,units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States : wind,thousand megawatthours,6737,10354,11187,14144,17811,26589,34450,55363,73886,94652,120177,140822,167992,181791
United States : solar,thousand megawatthours,543,555,534,575,550,508,612,864,891,1212,1818,4327,9022,18321
United States : geothermal,thousand megawatthours,13741,14491,14424,14811,14692,14568,14637,14840,15009,15219,15316,15562,15775,16628
United States : wood and wood-derived fuels,thousand megawatthours,35200,38665,37529,38117,38856,38762,39014,37300,36050,37172,37449,37799,40922,43050
United States : other biomass,thousand megawatthours,14548,15044,15812,15421,15420,16099,16525,17734,18443,18917,19222,19823,20964,21269
